key,en,es,ru,ko,ja,it,de,fr,nl,zh,ar,ur
itemNotEligible,This Item Is Not Eligible For,Este artículo no es elegible para,Этот предмет не имеет права на,이 항목은 자격이 없습니다,このアイテムは資格がありません,Questo articolo non è idoneo per,Dieser Artikel ist nicht berechtigt für,Cet article n'est pas éligible pour,Dit item komt niet in aanmerking voor,此项目不符合资格,هذا العنصر غير مؤهل لـ,یہ آئٹم اہل نہیں ہے
affiliteFirstBrands,"Do you have a fashion-forward, luxury oriented website, blog, social media profile that is trend savvy with an international outlook? Is your focus fashion, lifestyle, beauty and design? If so, we are looking for you!","¿Tiene un sitio web, blog, perfil de redes sociales de moda y orientación de lujo que es un experto en tendencias con una perspectiva internacional? ¿Es tu enfoque de moda, estilo de vida, belleza y diseño? Si es así, ¡te estamos buscando a ti!","У вас есть модный, ориентированный на роскошный веб-сайт, блог, профиль в социальных сетях, который является подкованным с международным перспективами? Ваша фокус мода, образ жизни, красота и дизайн? Если так, мы ищем тебя!","국제적인 전망으로 정통한 트렌드 인 패션 포워드, 럭셔리 지향적 웹 사이트, 블로그, 소셜 미디어 프로필이 있습니까? 초점 패션, 라이프 스타일, 아름다움 및 디자인입니까? 그렇다면 우리는 당신을 찾고 있습니다!",国際的な見通しでトレンドに精通している、流行の豪華なウェブサイト、ブログ、ソーシャルメディアプロファイルはありますか？あなたのフォーカスファッション、ライフスタイル、美しさ、デザインですか？もしそうなら、私たちはあなたを探しています！,"Hai un sito Web di moda orientato alla moda, blog, profilo di social media che è esperto di tendenza con una prospettiva internazionale? Il tuo focus è la moda, lo stile di vita, la bellezza e il design? Se è così, ti stiamo cercando!","Haben Sie eine modische, luxuriöser Website, ein Blog und ein soziales Medienprofil, das mit einem internationalen Ausblick auf den Trend ist? Ist Ihre Fokus Mode, Lebensstil, Schönheit und Design? Wenn ja, suchen wir Sie!","Avez-vous un site Web de luxe et avant-gardiste, un blog, un profil de médias sociaux qui est averti des tendances avec une perspective internationale? Est-ce que votre mode de mise au point, le style de vie, la beauté et le design? Si oui, nous sommes à la recherche pour vous!","Heb je een modieuze, luxe georiënteerde website, blog, sociale media-profiel die trend savvy is met een internationale vooruitzichten? Is uw focusmode, levensstijl, schoonheid en ontwerp? Als dat zo is, zijn we op zoek naar u!",您是否有一个面向时尚的，奢侈的网站，博客，社交媒体资料，具有国际展望的趋势？您的重点时尚，生活方式，美丽和设计是吗？如果是这样，我们正在寻找您！,هل لديك موقع ويب للأزياء المتجهة إلى الأمام ، والمدونة ، وملف تعريف التواصل الاجتماعي ، وهو أمر ذكي الاتجاه مع النظرة الدولية؟ هل التركيز على الأزياء وأسلوب الحياة والجمال والتصميم؟ إذا كان الأمر كذلك، ونحن نبحث لك!,کیا آپ کے پاس فیشن فارورڈ ، لگژری پر مبنی ویب سائٹ ، بلاگ ، سوشل میڈیا پروفائل ہے جو بین الاقوامی نقطہ نظر کے ساتھ رجحان پریمی ہے؟ کیا آپ کا فوکس فیشن ، طرز زندگی ، خوبصورتی اور ڈیزائن ہے؟ اگر ایسا ہے تو ، ہم آپ کی تلاش کر رہے ہیں!
affiliteFirstSuvnat,"Do you have a fashion-forward, luxury oriented website, blog, social media profile that is trend savvy with an international outlook? Is your focus fashion, lifestyle, beauty and design? If so, we are looking for you! Join our global Affiliate Program and you will have the opportunity to earn a commission every time your visitors purchase from SUV&NAT.","¿Tiene un sitio web, blog, perfil de redes sociales de moda y orientación de lujo que es un experto en tendencias con una perspectiva internacional? ¿Es tu enfoque de moda, estilo de vida, belleza y diseño? Si es así, ¡te estamos buscando a ti! Únase a nuestro programa de afiliados globales y tendrá la oportunidad de ganar una comisión cada vez que sus visitantes compren a SUV & NAT.","У вас есть модный, ориентированный на роскошный веб-сайт, блог, профиль в социальных сетях, который является подкованным с международным перспективами? Ваша фокус мода, образ жизни, красота и дизайн? Если так, мы ищем тебя! Присоединяйтесь к нашей глобальной партнерской программе, и у вас будет возможность зарабатывать комиссию каждый раз, когда ваши посетители покупают в SUV & NAT.","국제적인 전망으로 정통한 트렌드 인 패션 포워드, 럭셔리 지향적 웹 사이트, 블로그, 소셜 미디어 프로필이 있습니까? 초점 패션, 라이프 스타일, 아름다움 및 디자인입니까? 그렇다면 우리는 당신을 찾고 있습니다! 글로벌 제휴 프로그램에 가입하면 방문자가 SUV & NAT에서 구매할 때마다 커미션을받을 수 있습니다.",国際的な見通しでトレンドに精通している、流行の豪華なウェブサイト、ブログ、ソーシャルメディアプロファイルはありますか？あなたのフォーカスファッション、ライフスタイル、美しさ、デザインですか？もしそうなら、私たちはあなたを探しています！グローバルアフィリエイトプログラムに参加すると、訪問者がSUV＆NATから購入するたびに手数料を獲得する機会があります。,"Hai un sito Web di moda orientato alla moda, blog, profilo di social media che è esperto di tendenza con una prospettiva internazionale? Il tuo focus è la moda, lo stile di vita, la bellezza e il design? Se è così, ti stiamo cercando! Unisciti al nostro programma di affiliazione globale e avrai l'opportunità di guadagnare una commissione ogni volta che i tuoi visitatori acquistano da SUV & NAT.","Haben Sie eine modische, luxuriöser Website, ein Blog und ein soziales Medienprofil, das mit einem internationalen Ausblick auf den Trend ist? Ist Ihre Fokus Mode, Lebensstil, Schönheit und Design? Wenn ja, suchen wir Sie! Treten Sie an unserem globalen Partnerprogramm bei, und Sie haben die Möglichkeit, jedes Mal, wenn Ihre Besucher bei SUV & NAT kaufen, eine Provision zu erhalten.","Avez-vous un site Web de luxe et avant-gardiste, un blog, un profil de médias sociaux qui est averti des tendances avec une perspective internationale? Est-ce que votre mode de mise au point, le style de vie, la beauté et le design? Si oui, nous sommes à la recherche pour vous! Rejoignez notre programme mondial d'affiliation et vous aurez la possibilité de gagner une commission chaque fois que vos visiteurs achètent auprès de SUV & NAT.","Heb je een modieuze, luxe georiënteerde website, blog, sociale media-profiel die trend savvy is met een internationale vooruitzichten? Is uw focusmode, levensstijl, schoonheid en ontwerp? Als dat zo is, zijn we op zoek naar u! Word lid van ons Global Affiliate -programma en u krijgt de mogelijkheid om een ​​commissie te verdienen telkens wanneer uw bezoekers kopen bij SUV & NAT.",您是否有一个面向时尚的，奢侈的网站，博客，社交媒体资料，具有国际展望的趋势？您的重点时尚，生活方式，美丽和设计是吗？如果是这样，我们正在寻找您！加入我们的全球会员计划，您将有机会每次从SUV＆NAT购买访问者时获得佣金。,هل لديك موقع ويب للأزياء المتجهة إلى الأمام ، والمدونة ، وملف تعريف التواصل الاجتماعي ، وهو أمر ذكي الاتجاه مع النظرة الدولية؟ هل التركيز على الأزياء وأسلوب الحياة والجمال والتصميم؟ إذا كان الأمر كذلك، ونحن نبحث لك! انضم إلى برنامجنا التابع العالمي وستتاح لك الفرصة لكسب عمولة في كل مرة يشتري فيها زوارك من سيارات الدفع الرباعي و NAT.,کیا آپ کے پاس فیشن فارورڈ ، لگژری پر مبنی ویب سائٹ ، بلاگ ، سوشل میڈیا پروفائل ہے جو بین الاقوامی نقطہ نظر کے ساتھ رجحان پریمی ہے؟ کیا آپ کا فوکس فیشن ، طرز زندگی ، خوبصورتی اور ڈیزائن ہے؟ اگر ایسا ہے تو ، ہم آپ کی تلاش کر رہے ہیں! ہمارے عالمی وابستہ پروگرام میں شامل ہوں اور جب بھی آپ کے زائرین ایس یو وی اور نیٹ سے خریداری کرتے ہیں تو آپ کو کمیشن حاصل کرنے کا موقع ملے گا۔
toYourWishlist,to your wishlist.,a tu lista de deseos.,вашему списку желаний.,위시리스트에.,ウィッシュリストに。,alla tua lista dei desideri.,auf Ihre Wunschliste.,à votre liste de souhaits.,naar uw verlanglijstje.,向您的愿望清单。,إلى قائمة أمنياتك.,آپ کی خواہش کی فہرست میں
editNewsletter,Edit Newsletter,Editar boletín,Редактировать информационный бюллетень,뉴스 레터 편집,編集ニュースレター,Modifica la newsletter,Newsletter bearbeiten,Modifier la newsletter,Nieuwsbrief bewerken,编辑新闻通讯,تحرير النشرة الإخبارية,نیوز لیٹر میں ترمیم کریں
guestUser,Guest User,Usuario invitado,Гостевой пользователь,게스트 사용자,ゲストユーザー,Utente ospite,Gastbenutzer,Utilisateur invité,Gast gebruiker,来宾用户,حساب زائر,مہمان صارف
findOrderby,Find Order by,Encontrar orden por,Найдите заказ за,주문을 찾으십시오,注文を見つけます,Trova l'ordine di,Bestellung finden von,Trouver l'ordre par,Zoek de bestelling door,查找订单,العثور على النظام من قبل,بذریعہ آرڈر تلاش کریں
billingLastName,Billing Last Name,Apellido de facturación,Биллинг фамилия,청구 성,姓の請求,Cognome di fatturazione,Nachnamen,Nom de facturation,Achternaam van de factuur,计费姓,الفواتير اسم العائلة,آخری نام بلنگ
editUser,Edit user,Editar usuario,Редактировать пользователя,사용자 편집,ユーザーを編集します,Modifica l'utente,Benutzer bearbeiten,Modifier l'utilisateur,Bewerk gebruiker,编辑用户,تحرير العضو,صارف میں ترمیم کریں
userUpdateMsg,User updated successfully,Usuario actualizado correctamente,Пользователь успешно обновлен,사용자가 성공적으로 업데이트되었습니다,ユーザーは正常に更新されました,Utente aggiornato correttamente,Benutzer erfolgreich aktualisiert,Utilisateur mis à jour avec succès,Gebruiker met succes bijgewerkt,用户成功更新了,تم تحديث المستخدم بنجاح,صارف نے کامیابی کے ساتھ اپ ڈیٹ کیا
